Species,Site,Cage,group,Treatment,Colony_num,deltF.Fm,Fv.Fm,Qm
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,34,0.301,0.581,0.481927711
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,35,0.316,0.602,0.475083056
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,36,0.378,0.625,0.3952
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,37,0.407,0.655,0.378625954
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,38,0.41,0.624,0.342948718
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,39,0.489,0.67,0.270149254
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,40,0.317,0.573,0.446771379
OFAV,Shallow,10 PS,OFAV_P,OFAV_PS,41,0.326,0.584,0.441780822
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,1,0.577,0.656,0.120426829
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,2,0.632,0.688,0.081395349
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,3,0.592,0.644,0.080745342
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,4,0.653,0.7,0.067142857
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,5,0.503,0.662,0.240181269
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,6,0.604,0.686,0.119533528
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,7,0.595,0.678,0.122418879
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,8,0.469,0.65,0.278461538
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,9,0.658,0.723,0.089903181
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,10,0.586,0.664,0.11746988
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,11,0.609,0.678,0.101769912
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,12,0.519,0.665,0.219548872
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,13,0.604,0.688,0.122093023
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,14,0.661,0.699,0.054363376
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,15,0.488,0.664,0.265060241
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,16,0.604,0.689,0.123367199
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,17,0.601,0.7,0.141428571
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,18,0.612,0.701,0.126961484
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,19,0.307,0.467,0.34261242
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,20,0.601,0.684,0.121345029
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,21,0.469,0.612,0.233660131
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,22,0.483,0.623,0.224719101
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,23,0.642,0.697,0.078909613
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,24,0.626,0.688,0.090116279
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,25,0.547,0.646,0.153250774
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,26,0.566,0.662,0.145015106
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,27,0.505,0.68,0.257352941
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,28,0.627,0.701,0.105563481
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,29,0.59,0.669,0.118086697
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,30,0.538,0.664,0.189759036
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,31,0.493,0.677,0.271787297
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,32,0.596,0.697,0.144906743
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,33,0.483,0.647,0.253477589
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,34,0.592,0.696,0.149425287
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,35,0.6,0.704,0.147727273
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,36,0.479,0.667,0.28185907
OFRA,Deep,3 PP,OFRA_P,OFRA_PP,37,0.602,0.694,0.132564841
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,1,0.582,0.702,0.170940171
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,2,0.577,0.666,0.133633634
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,3,0.585,0.714,0.180672269
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,4,0.577,0.694,0.168587896
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,5,0.616,0.693,0.111111111
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,6,0.595,0.7,0.15
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,7,0.512,0.662,0.226586103
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,8,0.553,0.656,0.157012195
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,9,0.601,0.692,0.13150289
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,10,0.575,0.691,0.167872648
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,11,0.601,0.691,0.13024602
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,12,0.595,0.672,0.114583333
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,13,0.575,0.667,0.137931034
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,14,0.563,0.69,0.184057971
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,15,0.596,0.687,0.132459971
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,16,0.562,0.692,0.187861272
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,17,0.604,0.691,0.125904486
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,18,0.58,0.684,0.152046784
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,19,0.573,0.704,0.186079545
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,20,0.554,0.671,0.174366617
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,21,0.565,0.665,0.15037594
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,22,0.533,0.684,0.220760234
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,23,0.538,0.687,0.216885007
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,24,0.58,0.691,0.160636758
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,25,0.571,0.699,0.183118741
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,26,0.63,0.698,0.097421203
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,27,0.589,0.693,0.15007215
OFAV,Deep,3 SP,OFAV_S,OFAV_SP,28,0.604,0.701,0.138373752
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,1,0.281,0.597,0.529313233
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,2,0.276,0.575,0.52
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,3,0.369,0.656,0.4375
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,4,0.28,0.592,0.527027027
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,5,0.311,0.655,0.52519084
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,6,0.363,0.577,0.370883882
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,7,0.295,0.574,0.486062718
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,8,0.284,0.591,0.519458545
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,9,0.263,0.545,0.517431193
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,10,0.396,0.561,0.294117647
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,11,0.345,0.64,0.4609375
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,12,0.387,0.601,0.356073211
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,13,0.499,0.58,0.139655172
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,14,0.408,0.674,0.394658754
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,15,0.339,0.618,0.451456311
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,16,0.404,0.595,0.321008403
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,17,0.36,0.608,0.407894737
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,18,0.364,0.624,0.416666667
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,19,0.459,0.648,0.291666667
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,20,0.444,0.623,0.287319422
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,21,0.371,0.645,0.424806202
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,22,0.401,0.615,0.34796748
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,23,0.419,0.612,0.315359477
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,24,0.437,0.616,0.290584416
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,25,0.327,0.602,0.456810631
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,26,0.406,0.63,0.355555556
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,27,0.389,0.593,0.344013491
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,28,0.339,0.604,0.438741722
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,29,0.479,0.627,0.236044657
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,30,0.368,0.583,0.368782161
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,31,0.419,0.684,0.387426901
OFRA,Shallow,6 PS,OFRA_P,OFRA_PS,32,0.317,0.614,0.483713355
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,1,0.58,0.692,0.161849711
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,2,0.576,0.69,0.165217391
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,3,0.57,0.703,0.189189189
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,4,0.521,0.684,0.238304094
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,5,0.582,0.696,0.163793103
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,6,0.572,0.689,0.169811321
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,7,0.581,0.688,0.155523256
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,8,0.53,0.674,0.213649852
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,9,0.512,0.668,0.233532934
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,10,0.586,0.686,0.145772595
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,11,0.363,0.585,0.379487179
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,12,0.57,0.678,0.159292035
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,13,0.593,0.678,0.125368732
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,14,0.52,0.681,0.236417034
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,15,0.574,0.691,0.169319826
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,16,0.569,0.674,0.15578635
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,17,0.464,0.65,0.286153846
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,18,0.542,0.665,0.184962406
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,19,0.583,0.688,0.152616279
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,20,0.54,0.677,0.202363368
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,21,0.541,0.678,0.202064897
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,22,0.513,0.676,0.24112426
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,23,0.597,0.682,0.124633431
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,24,0.545,0.686,0.205539359
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,25,0.566,0.69,0.179710145
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,26,0.512,0.668,0.233532934
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,27,0.495,0.632,0.216772152
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,28,0.582,0.651,0.105990783
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,29,0.54,0.676,0.201183432
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,30,0.6,0.695,0.136690647
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,31,0.546,0.684,0.201754386
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,32,0.546,0.67,0.185074627
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,33,0.547,0.653,0.162327718
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,34,0.516,0.684,0.245614035
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,35,0.554,0.67,0.173134328
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,36,0.528,0.666,0.207207207
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,37,0.546,0.673,0.188707281
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,38,0.567,0.652,0.130368098
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,39,0.577,0.698,0.173352436
OFAV,Deep,8 PP,OFAV_P,OFAV_PP,40,0.611,0.704,0.132102273
